chapter_number,verse_number,verse_id,verse_id_arabic,chapter_verses,chapter_title_english,chapter_title_arabic,chapter_title_persian,verse_subtitle_english,verse_text_persian,verse_text_english,verse_footnote_english
2,80,3:20,٨٠:٢,286,The Heifer,البقرة,ماده گاو,Eternity of Heaven and Hell*,"بعضی گفته اند: ""مدت دوزخ محدود است و جز برای چند روز در آن نخواهيم بود."" بگو: ""آيا شما از خدا چنين عهدی گرفته ايد- خدا هرگز خلاف عهدش عمل نمی کند- يا از جانب خدا چيزی می گوييد كه نمی دانيد؟""","Some have said, ""Hell will not touch us, except for a limited number of days."" Say, ""Have you taken such a pledge from GOD—GOD never breaks His pledge—or, are you saying about GOD what you do not know?""","*2:80-82 It is an established belief among corrupted Muslims that they will suffer in Hell only in proportion to the number of sins they had committed, then they will get out of Hell and go to Heaven. They also believe that Muhammad will intercede on their behalf, and will take them out of Hell. Such beliefs are contrary to the Quran (Appendix 8)."
2,81,3:21,٨١:٢,286,The Heifer,البقرة,ماده گاو,,مسلماً، كسانی كه گناه می‌ كنند و با اعمال پليدشان احاطه می شوند، ساكنان دوزخ خواهند بود؛ آنها تا ابد در آن ماندگارند.,"Indeed, those who earn sins and become surrounded by their evil work will be the dwellers of Hell; they abide in it forever.",
2,82,3:22,٨٢:٢,286,The Heifer,البقرة,ماده گاو,,و اما کسانی که ايمان می آورند و زندگی پرهيزكارانه ای را در پيش مى گيرند، از ساكنان بهشت خواهند بود؛ آنها جاودان در آن ماندگارند.,"As for those who believe, and lead a righteous life, they will be the dwellers of Paradise; they abide in it forever.",
2,83,3:23,٨٣:٢,286,The Heifer,البقرة,ماده گاو,The Commandments,"ما با بنی اسرایيل پيمان بستيم: ""جز خدا را نپرستيد. به والدين خود احترام بگذاريد و به خويشاوندان، يتيمان و تهيدستان توجه كنيد. با مردم خوش رفتاری نماييد. نمازها (ارتباط با خدا) را به جا آورید و زکات (انفاق واجب) را بدهيد."" اما جز عدهٔ كمی از شما، بقيه روی گردانديد و مخالفت كرديد.","We made a covenant with the Children of Israel: ""You shall not worship except GOD. You shall honor your parents and regard the relatives, the orphans, and the poor. You shall treat the people amicably. You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat)."" But you turned away, except a few of you, and you became averse.",
2,84,3:24,٨٤:٢,286,The Heifer,البقرة,ماده گاو,,و با شما پيمان بستيم که خون يکديگر را نريزيد و يکديگر را از خانه های خود بيرون نرانيد. شما پذيرفتيد و شهادت داديد.,"We made a covenant with you, that you shall not shed your blood, nor shall you evict each other from your homes. You agreed and bore witness.",
2,85,3:25,٨٥:٢,286,The Heifer,البقرة,ماده گاو,,با اين حال، هنوز يكديگر را می كشيد و بعضی از خودتان را از خانه‌هايشان می ‌رانيد و با گناهكاری و بدخواهی عليه آنها همدست می‌ شويد. حتی هنگامی كه تسليم شما شدند، از آنها غرامت خواستيد. بيرون راندن آنها از ابتدا برای شما ممنوع شده بود. آيا شما به بخشی از كتاب آسمانی ايمان داريد و بخشی را باور نداريد؟ مجازات كسانی كه در ميان شما چنين می ‌كنند، چه باشد، جز خواری در اين دنيا و عذابی بسيار بدتر در روز قيامت؟ خدا هرگز از اعمال شما غافل نيست.,"Yet, here you are killing each other, and evicting some of you from their homes, banding against them sinfully and maliciously. Even when they surrendered, you demanded ransom from them. Evicting them was prohibited for you in the first place. Do you believe in part of the scripture and disbelieve in part? What should be the retribution for those among you who do this, except humiliation in this life, and a far worse retribution on the Day of Resurrection? GOD is never unaware of anything you do.",
2,86,3:26,٨٦:٢,286,The Heifer,البقرة,ماده گاو,,اين آنها هستند که زندگی پست دنيا را به بهای آخرت خريدند. درنتيجه، نه هرگز در مجازاتشان تخفيف داده می شود و نه فريادرسی خواهند داشت.,"It is they who bought this lowly life at the expense of the Hereafter. Consequently, the retribution is never commuted for them, nor can they be helped.",
2,87,3:27,٨٧:٢,286,The Heifer,البقرة,ماده گاو,The Prophets of Israel,ما به موسی كتاب آسمانی عطا كرديم و پس از او رسولان ديگری فرستاديم و به عيسی، پسر مريم، معجزاتی آشكار داديم و به وسيلهٔ روح القدس از او حمايت كرديم. آيا اين حقيقت ندارد كه هرگاه رسولی با آنچه كه مورد پسند شما نبود برايتان آمد، غرورتان باعث شد كه متكبر شويد؟ بعضی از آنها را تكذيب كرديد و بعضی از آنها را كشتيد.,"We gave Moses the scripture, and subsequent to him we sent other messengers, and we gave Jesus, son of Mary, profound miracles and supported him with the Holy Spirit. Is it not a fact that every time a messenger went to you with anything you disliked, your ego caused you to be arrogant? Some of them you rejected, and some of them you killed.",
2,88,3:28,٨٨:٢,286,The Heifer,البقرة,ماده گاو,"Tragic Statement: ""My mind is made up!""","برخی می گويند: ""ما تصميم خود را گرفته ايم!"" بلکه، اين لعنت خداست، که در نتيجهٔ کفرشان، آنها را از ايمان آوردن بازمی دارد، جز تعداد كمى از آنها.","Some would say, ""Our minds are made up!"" Instead, it is a curse from GOD, as a consequence of their disbelief, that keeps them from believing, except for a few of them.",
2,89,3:29,٨٩:٢,286,The Heifer,البقرة,ماده گاو,The Quran Consummates All Scriptures,هنگامی كه  اين كتاب آسمانی از جانب خدا برايشان آمد، با آنكه با آنچه دارند، مطابقت می ‌كند و آن را تصديق می نمايد و آنها هنگام گفتگو با كافران ظهور آن را پيش‌ بينی می ‌كردند، هنگامی كه پيش بينی خودشان به وقوع پيوست، آن را باور نكردند. كافران اين چنين به لعنت خدا مبتلا می ‌شوند.,"When this scripture came to them from GOD, and even though it agrees with, and confirms what they have, and even though they used to prophesy its advent when they talked with the disbelievers, when their own prophecy came to pass, they disbelieved therein. GOD's condemnation thus afflicts the disbelievers.",
2,90,3:30,٩٠:٢,286,The Heifer,البقرة,ماده گاو,,مسلماً، نفس خود را به بد چيزی فروختند- اين آيات خدا را صرفاً از روی غيظ رد كردند كه چرا خدا در ميان بندگانش موهبت خويش را به هر كه برگزيند، ارزانی می ‌دارد. درنتيجه، آنها پی در پی به خشم دچار شدند. كافران سزاوار عذابی خواركننده شده‌اند.,"Miserable indeed is what they sold their souls for—rejecting these revelations of GOD out of sheer resentment that GOD should bestow His grace upon whomever He chooses from among His servants. Consequently, they incurred wrath upon wrath. The disbelievers have incurred a humiliating retribution.",
2,91,3:31,٩١:٢,286,The Heifer,البقرة,ماده گاو,,"و چون به آنان گفته شود: ""به اين آيات خدا ايمان بياوريد،"" می گويند: ""ما فقط به آنچه بر ما نازل شد، ايمان داريم."" بدين ترتيب، آيات بعدی را باور نمی کنند، با آنكه حقيقتی است از جانب پروردگارشان و آنچه را كه دارند، تصديق می کند! بگو: ""پس چرا پيامبران خدا را کشتيد، اگر باايمان بوديد؟""","When they are told, ""You shall believe in these revelations of GOD,"" they say, ""We believe only in what was sent down to us."" Thus, they disbelieve in subsequent revelations, even if it is the truth from their Lord, and even though it confirms what they have! Say, ""Why then did you kill GOD's prophets, if you were believers?""",
2,92,3:32,٩٢:٢,286,The Heifer,البقرة,ماده گاو,Learning From Israel's History,موسی با معجزاتی شگرف نزد شما آمد، با اين حال شما در غياب او، گوساله را پرستيديد و ستمکار شديد.,"Moses went to you with profound miracles, yet you worshiped the calf in his absence, and you turned wicked.",
2,93,3:33,٩٣:٢,286,The Heifer,البقرة,ماده گاو,,"در حالی كه كوه سينا را بالای سرتان نگاه داشتيم، با شما پيمان بستيم و گفتيم: ""از دستوراتی كه به شما داده‌ايم، با قدرت تمام حمايت كنيد و گوش فرا دهيد."" آنها گفتند: ""ما می ‌شنويم، ولی اطاعت نمی ‌كنيم."" به دليل كفرشان، دل‌هايشان فريفتهٔ گوساله شد. بگو: ""درواقع، آنچه كه اعتقادتان به شما امر می ‌كند، باعث بدبختی است، البته اگر ايمان و اعتقادی داشته باشيد.""","We made a covenant with you, as we raised Mount Sinai above you, saying, ""You shall uphold the commandments we have given you, strongly, and listen."" They said, ""We hear, but we disobey."" Their hearts became filled with adoration for the calf, due to their disbelief. Say, ""Miserable indeed is what your faith dictates upon you, if you do have any faith.""",
2,94,3:34,٩٤:٢,286,The Heifer,البقرة,ماده گاو,,"بگو: ""اگر سرای آخرت نزد خدا ويژهٔ شماست و سايرين از آن محروم هستند، پس آرزوی مرگ کنيد، اگر راست می گوييد.""","Say, ""If the abode of the Hereafter is reserved for you at GOD, to the exclusion of all other people, then you should long for death, if you are truthful.""",
2,95,3:35,٩٥:٢,286,The Heifer,البقرة,ماده گاو,,آنها هرگز آرزوی آن را نمی ‌كنند، به سبب آنچه با دست‌های خويش از پيش فرستاده‌اند. خدا از ستمكاران كاملاً آگاه است.,"They never long for it, because of what their hands have sent forth. GOD is fully aware of the wicked.",
2,96,3:36,٩٦:٢,286,The Heifer,البقرة,ماده گاو,,درحقيقت، آنها را به زندگی حريص‌ترين خواهيد يافت؛ حتی به مراتب بيشتر از مشركان. هر يك از آنها آرزو دارد كه هزار سال عمر كند. اما اين عمر طولانی هم نمی تواند او را از مجازات در امان بدارد، حتى هر قدر هم كه عمر كند. خدا بر تمام اعمالشان بيناست.,"In fact, you will find them the most covetous of life; even more so than the idol worshipers. The one of them wishes to live a thousand years. But this will not spare him any retribution, no matter how long he lives. GOD is seer of everything they do.",
2,97,3:37,٩٧:٢,286,The Heifer,البقرة,ماده گاو,Gabriel Mediates the Revelation,"بگو: ""هر کس که با جبرئيل مخالفت كند، بايد بداند که او اين (قرآن) را با خواست خدا، بر قلب تو نازل کرده است که تصديق كنندهٔ کتب آسمانی پيشين و هدايت و بشارتی است برای مؤمنان.""","Say, ""Anyone who opposes Gabriel should know that he has brought down this (Quran) into your heart, in accordance with GOD's will, confirming previous scriptures, and providing guidance and good news for the believers.""",
2,98,3:38,٩٨:٢,286,The Heifer,البقرة,ماده گاو,,هر کس مخالف خدا و فرشتگان او و رسولان او و جبرئيل و ميکائيل باشد، بداند که خدا با کافران مخالف است.,"Anyone who opposes GOD, and His angels, and His messengers, and Gabriel and Michael, should know that GOD opposes the disbelievers.",
2,99,3:39,٩٩:٢,286,The Heifer,البقرة,ماده گاو,,ما آيات را به اين روشنی بر تو نازل كرده‌ايم و فقط ستمكاران آن را تكذيب خواهند كرد.,"We have sent down to you such clear revelations, and only the wicked will reject them.",
2,100,3:40,١٠٠:٢,286,The Heifer,البقرة,ماده گاو,,آيا واقعيت جز اين است که هرگاه پيمانی می بندند و متعهد می شوند که به آن وفا کنند، هميشه بعضی از آنها آن را ناديده می گيرند؟ درواقع، بيشترشان ايمان ندارند.,"Is it not a fact that when they make a covenant and pledge to keep it, some of them always disregard it? In fact, most of them do not believe.",
2,101,3:41,١٠١:٢,286,The Heifer,البقرة,ماده گاو,Disregarding God's Scripture,اكنون كه رسولی از جانب خدا برايشان آمده است* و با آنكه كتاب آسمانی خودشان را ثابت و تصديق می ‌كند، برخی از پيروان كتاب آسمانی (يهوديان، مسيحيان و مسلمانان) به كتاب خدا پشت می ‌كنند و چنان بی ‌اعتنا هستند كه گويی هرگز كتاب آسمانی نداشته‌اند.,"Now that a messenger from GOD has come to them,* and even though he proves and confirms their own scripture, some followers of the scripture (Jews, Christians, and Muslims) disregard GOD's scripture behind their backs, as if they never had any scripture.","*2:101 God's Messenger of the Covenant is prophesied in the Old Testament (Malachi 3:1-3), the New Testament (Luke 17:22-37), and this Final Testament (3:81)."
2,102,3:42,١٠٢:٢,286,The Heifer,البقرة,ماده گاو,Witchcraft Condemned,"آنها آنچه را كه شياطين دربارهٔ سلطنت سليمان تعليم دادند، دنبال كردند. گرچه سليمان كافر نبود، ولی شياطين كافر بودند. آنها به مردم جادوگری و آنچه را كه توسط دو فرشتهٔ بابل، هاروت و ماروت فرستاده شد، تعليم دادند. آن دو چنين دانشی را ابراز نكردند مگر آنكه گوشزد كنند كه: ""اين يك امتحان است. از اين دانش سوء استفاده نكنيد."" اما مردم از آن برای حيله‌های شيطانی مانند برهم زدن ازدواج‌ها استفاده كردند. آنها هرگز نمی ‌توانند برخلاف خواست خدا به كسی آسيبی برسانند. درواقع، آنها چيزی را ياد می ‌گيرند كه به ضرر آنهاست، نه چيزی كه به نفع آنهاست و آنها به خوبی می ‌دانند كه هر كس طلسم و جادو به كار بندد، در آخرت سهمی نخواهد داشت. درواقع، آنها نفس خود را به بد چيزی می ‌فروشند، اگر فقط می ‌دانستند.","They pursued what the devils taught concerning Solomon's kingdom. Solomon, however, was not a disbeliever, but the devils were disbelievers. They taught the people sorcery, and that which was sent down through the two angels of Babel, Haroot and Maroot. These two did not divulge such knowledge without pointing out: ""This is a test. You shall not abuse such knowledge."" But the people used it in such evil schemes as the breaking up of marriages. They can never harm anyone against the will of GOD. They thus learn what hurts them, not what benefits them, and they know full well that whoever practices witchcraft will have no share in the Hereafter. Miserable indeed is what they sell their souls for, if they only knew.",
2,103,3:43,١٠٣:٢,286,The Heifer,البقرة,ماده گاو,,اگر ايمان بياورند و زندگی پرهيزکارانه ای را در پيش گيرند، پاداش خدا به مراتب بهتر است، اگر فقط می دانستند.,"If they believe and lead a righteous life, the reward from GOD is far better, if they only knew.",
2,104,3:44,١٠٤:٢,286,The Heifer,البقرة,ماده گاو,Twisting the Words of Supplication,"ای كسانی كه ايمان آوردەايد، نگوييد: ""راعِنا""* (چوپان ما باش). درعوض، بگوييد: ""اُنظُرنا"" (ناظر ما باش) و گوش فرا داريد. کافران سزاوار مجازاتی دردناک شده اند.","O you who believe, do not say, ""Raa'ena""* (be our shepherd). Instead, you should say, ""Unzurna"" (watch over us), and listen. The disbelievers have incurred a painful retribution.","*2:104 The word ""Raa'ena"" was abused by some Hebrew-speaking people, and twisted to sound like a dirty word (see also 4:46)."
2,105,3:45,١٠٥:٢,286,The Heifer,البقرة,ماده گاو,Jealousy Condemned,نه كافران اهل كتاب دوست دارند ببينند که از جانب پروردگارتان نعمتی بر شما فرود می آيد و نه مشركان. اگرچه، خدا باران رحمتش را به هر كه برگزيند، فرو می فرستد. خدا صاحب موهبتی است بی انتها.,"Neither the disbelievers among the followers of the scripture, nor the idol worshipers, wish to see any blessings come down to you from your Lord. However, GOD showers His blessings upon whomever He chooses. GOD possesses infinite grace.",
2,106,3:46,١٠٦:٢,286,The Heifer,البقرة,ماده گاو,The Ultimate Miracle: The Quran's Mathematical Code*,هرگاه معجزه‌ای را نسخ كنيم، يا باعث فراموشی آن شويم، معجزه‌ای بهتر و يا دست کم مانند آن را می ‌آوريم. آيا شما اين حقيقت را تشخيص نمی ‌دهيد كه خداست قادر مطلق؟,"When we abrogate any miracle, or cause it to be forgotten, we produce a better miracle, or at least an equal one. Do you not recognize the fact that GOD is Omnipotent?","*2:106 The Quran's mathematical miracle is perpetual & greater than previous miracles (34:45, 74:35). Like the Quran itself, it confirms, consummates, and supersedes all previous miracles."
2,107,3:47,١٠٧:٢,286,The Heifer,البقرة,ماده گاو,,آيا اين حقيقت را تشخيص نمی ‌دهيد كه سلطنت آسمان‌ها و زمين از آن خداست؛ كه شما غير از خدا كسی را به عنوان مولا و سرور خود نداريد؟,Do you not recognize the fact that GOD possesses the kingship of the heavens and the earth; that you have none besides GOD as your Lord and Master?,
2,108,3:48,١٠٨:٢,286,The Heifer,البقرة,ماده گاو,,آيا می خواهيد از رسول خود چيزى درخواست کنيد که قبلاً از موسی درخواست شده بود؟ هرکس کفر را به جای ايمان انتخاب کند، مسلماً از راه راست منحرف شده است.,"Do you wish to demand of your messenger what was demanded of Moses in the past? Anyone who chooses disbelief, instead of belief, has truly strayed off the right path.",
2,109,3:49,١٠٩:٢,286,The Heifer,البقرة,ماده گاو,,اکنون که شما ايمان آورده ايد، بسياری از اهل کتاب مايلند ببينند که شما به کفر بازگشته ايد. اين ناشی از حسادتی است که در نهاد آنهاست، پس از آنکه حقيقت برايشان آشكار شده است. آنان را ببخشيد و به حال خود رها کنيد، تا خدا حکمش را صادر کند. خداست قادر مطلق.,"Many followers of the scripture would rather see you revert to disbelief, now that you have believed. This is due to jealousy on their part, after the truth has become evident to them. You shall pardon them, and leave them alone, until GOD issues His judgment. GOD is Omnipotent.",
2,110,3:50,١١٠:٢,286,The Heifer,البقرة,ماده گاو,,نمازها (ارتباط با خدا) را به جا آورید و زکات (انفاق واجب) را بدهيد. هر كار نيكی كه از پيش برای نفس خويش بفرستيد، آن را نزد خدا خواهيد يافت. خدا به آنچه می ‌كنيد، بيناست.,"You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat). Any good you send forth on behalf of your souls, you will find it at GOD. GOD is seer of everything you do.",
2,111,3:51,١١١:٢,286,The Heifer,البقرة,ماده گاو,"All Believers Are Redeemed, Regardless of the Name of Their Religion","برخی گفته‌اند: ""هيچ كس وارد بهشت نخواهد شد، جز يهوديان يا مسيحيان!"" چنين است خيال خام آنها. بگو: ""مدرك خود را به ما نشان دهيد، اگر حق با شماست.""","Some have said, ""No one will enter Paradise except Jews or Christians!"" Such is their wishful thinking. Say, ""Show us your proof, if you are right.""",*2:111-112 See 2:62 and 5:69.
2,112,3:52,١١٢:٢,286,The Heifer,البقرة,ماده گاو,Submission: The Only Religion,مسلماً، کسانی که خود را با تمام وجود فقط به خدا تسليم کنند و زندگی پرهيزكارانه ای را در پيش گيرند، پاداش خود را از جانب پروردگار خود دريافت خواهند کرد؛ نه از چيزی بترسند و نه اندوهگين خواهند شد.*,"Indeed, those who submit themselves absolutely to GOD alone, while leading a righteous life, will receive their recompense from their Lord; they have nothing to fear, nor will they grieve.*",
2,113,3:53,١١٣:٢,286,The Heifer,البقرة,ماده گاو,,"يهوديان گفتند: ""مسيحيان پايه و اساسی ندارند."" در حالی كه مسيحيان گفتند: ""يهوديان پايه و اساسی ندارند."" با آنكه، هر دو كتاب آسمانی می ‌خوانند. چنين است گفتار كسانی كه دانشی ندارند. خدا در روز قيامت، دربارهٔ اختلافاتشان قضاوت خواهد كرد.","The Jews said, ""The Christians have no basis,"" while the Christians said, ""The Jews have no basis."" Yet, both of them read the scripture. Such are the utterances of those who possess no knowledge. GOD will judge them on the Day of Resurrection, regarding their disputes.",
2,114,3:54,١١٤:٢,286,The Heifer,البقرة,ماده گاو,You Shall Frequent the Masjid,چه كسانی پليدتر از آنان كه مساجد خدا را، جايی كه نام او ذكر می ‌شود، تحريم كنند و در متروك كردن آن همكاری نمايند؟ اينان نبايد به آنجا وارد شوند، مگر با ترس. آنها در اين دنيا از ذلت و خواری رنج می ‌برند و در آخرت به عذابی عظيم مبتلا خواهند شد.,"Who are more evil than those who boycott GOD's masjids, where His name is commemorated, and contribute to their desertion? These ought not to enter therein except fearfully. They will suffer in this life humiliation, and will suffer in the Hereafter a terrible retribution.",
2,115,3:55,١١٥:٢,286,The Heifer,البقرة,ماده گاو,,شرق و غرب از آن خداست؛ هر جا رويد خدا در آنجا حضور خواهد داشت. خدا هميشه در همه جا حاضر است، بر همه چيز داناست.,"To GOD belongs the east and the west; wherever you go there will be the presence of GOD. GOD is Omnipresent, Omniscient.",
2,116,3:56,١١٦:٢,286,The Heifer,البقرة,ماده گاو,Gross Blasphemy,"آنها گفتند: ""خدا پسری اختيار کرده است!"" هرگز؛ شکوه و جلال او ستايش باد. همه چيز در آسمان ها و زمين از آن اوست؛ همه فرمانبردار اويند.","They said, ""GOD has begotten a son!"" Be He glorified; never! To Him belongs everything in the heavens and the earth; all are subservient to Him.",
2,117,3:57,١١٧:٢,286,The Heifer,البقرة,ماده گاو,,"آغازكنندهٔ آسمان ها و زمين: برای انجام هر کاری، به سادگی به آن می گويد: ""باش،"" و آن هست.","The Initiator of the heavens and the earth: to have anything done, He simply says to it, ""Be,"" and it is.",
2,118,3:58,١١٨:٢,286,The Heifer,البقرة,ماده گاو,,"کسانی که دانشی ندارند، می گويند: ""ای کاش می شد خدا با ما سخن بگويد، يا معجزه ای بر ما بيايد!"" کسانی که پيش از آنها بودند نيز سخنانی مشابه اين را گفته اند؛ افکارشان مانند يکديگر است. ما معجزات را برای کسانی که به يقين رسيده اند، نمايان می کنيم.","Those who possess no knowledge say, ""If only GOD could speak to us, or some miracle could come to us!"" Others before them have uttered similar utterances; their minds are similar. We do manifest the miracles for those who have attained certainty.",
2,119,3:59,١١٩:٢,286,The Heifer,البقرة,ماده گاو,,ما تو* را با حقيقت فرستاده ايم تا نويدبخش و هشداردهنده باشی. تو جوابگوی کسانی نيستی که سزاوار دوزخ مى شوند.,"We have sent you* with the truth as a bearer of good news, as well as a warner. You are not answerable for those who incur Hell.","*2:119 It is my obligation to point out that the identity of this messenger is confirmed to be ""Rashad Khalifa,"" God's Messenger of the Covenant. By adding the gematrical value of ""Rashad"" (505), plus the gematrical value of ""Khalifa"" (725), plus the verse number (119), we get 1349, a multiple of 19. See 3:81 and Appendix Two."
2,120,4:00,١٢٠:٢,286,The Heifer,البقرة,ماده گاو,,"نه يهوديان تو را خواهند پذيرفت و نه مسيحيان، مگر آنکه از دين آنها پيروی کنی. بگو: ""هدايت راستين، هدايت خداست."" اگر با وجود دانشی که دريافت كردەاى، به خواسته هايشان تن دهی، هيچ يار و پشتيبانی در برابر خدا نخواهی يافت.","Neither the Jews, nor the Christians, will accept you, unless you follow their religion. Say, ""GOD's guidance is the true guidance."" If you acquiesce to their wishes, despite the knowledge you have received, you will find no ally or supporter to help you against GOD.",
2,121,4:01,١٢١:٢,286,The Heifer,البقرة,ماده گاو,,كسانی كه كتاب آسمانی دريافت كردند و آن را آن طور كه بايد بدانند می ‌دانند، به اين ايمان خواهند آورد. و اما كسانی كه ايمان نمی آورند، از بازندگانند.,"Those who received the scripture, and know it as it should be known, will believe in this. As for those who disbelieve, they are the losers.",
2,122,4:02,١٢٢:٢,286,The Heifer,البقرة,ماده گاو,,ای بنی اسرایيل، به ياد آوريد نعمتم را که بر شما ارزانی داشتم و اينکه شما را بيش از ساير مردم مورد رحمت قرار دادم.,"O Children of Israel, remember My favor which I bestowed upon you, and that I blessed you more than any other people.",
2,123,4:03,١٢٣:٢,286,The Heifer,البقرة,ماده گاو,,آگاه باشيد از آن روزی كه نه نفسی به نفس ديگری كمك خواهد كرد، نه غرامتی پذيرفته خواهد شد و نه شفاعتی مؤثر خواهد بود و نه به كسی ياری خواهد شد.,"Beware of the day when no soul will help another soul, no ransom will be accepted, no intercession will be useful, and no one will be helped.",
2,124,4:04,١٢٤:٢,286,The Heifer,البقرة,ماده گاو,Abraham,"به ياد آوريد که ابراهيم از جانب پروردگارش با دستوراتى خاص امتحان شد و همه را به انجام رسانيد. (خدا) گفت: ""من تو را برای مردم به امامت برمی گزينم."" او گفت: ""و نيز نوادگان مرا؟"" او گفت: ""پيمان من شامل ستمگران نمی شود.""","Recall that Abraham was put to the test by his Lord, through certain commands, and he fulfilled them. (God) said, ""I am appointing you an imam for the people."" He said, ""And also my descendants?"" He said, ""My covenant does not include the transgressors.""",
2,125,4:05,١٢٥:٢,286,The Heifer,البقرة,ماده گاو,,"ما زيارتگاه (کعبه) را مركزى براى مردم و پناهگاهی امن قرار داده ايم. شما می توانيد از عبادتگاە ابراهيم به عنوان معبد استفاده کنيد. ما به ابراهيم و اسماعيل مأموريت داديم: ""خانهٔ مرا برای زيارت كنندگان و کسانی که در آنجا زندگی می کنند و کسانی که رکوع و سجده می کنند، خالص کنيد.""","We have rendered the shrine (the Ka'aba) a focal point for the people, and a safe sanctuary. You may use Abraham's shrine as a prayer house. We commissioned Abraham and Ismail: ""You shall purify My house for those who visit, those who live there, and those who bow and prostrate.""",
2,126,4:06,١٢٦:٢,286,The Heifer,البقرة,ماده گاو,,"ابراهيم دعا کرد: ""پروردگار من، اينجا را سرزمينی صلح آميز قرار ده و برای اهالی آن ميوه فراهم كن. به کسانی که به خدا و روز آخر ايمان دارند روزی ده."" (خدا) گفت: ""من به کافران نيز روزی خواهم داد. من اجازه خواهم داد که آنان موقتاً لذت ببرند، سپس آنان را به عذاب دوزخ و سرانجامى بسيار بد دچار خواهم كرد.""","Abraham prayed: ""My Lord, make this a peaceful land, and provide its people with fruits. Provide for those who believe in GOD and the Last Day."" (God) said, ""I will also provide for those who disbelieve. I will let them enjoy, temporarily, then commit them to the retribution of Hell, and a miserable destiny.""",
2,127,4:07,١٢٧:٢,286,The Heifer,البقرة,ماده گاو,Abraham Delivered All the Practices of Submission (Islam),"در حالی كه ابراهيم، همراه با اسماعيل پايه‌های زيارتگاه را بر پا می ‌داشتند (دعا كردند): ""پروردگار ما، اين را از ما بپذير. تويی شنوا، دانای مطلق.","As Abraham raised the foundations of the shrine, together with Ismail (they prayed): ""Our Lord, accept this from us. You are the Hearer, the Omniscient.",
2,128,4:08,١٢٨:٢,286,The Heifer,البقرة,ماده گاو,,"""پروردگار ما، ما را از تسليم شدگان خود قرار بده و بگذار از نسل ما امتی ‌پديد آيد كه به تو تسليم باشد. آداب دينمان را به ما بياموز و توبهٔ ما را بپذير. تويی آمرزنده، مهربان‌ترين.","""Our Lord, make us submitters to You, and from our descendants let there be a community of submitters to You. Teach us the rites of our religion, and redeem us. You are the Redeemer, Most Merciful.",
2,129,4:09,١٢٩:٢,286,The Heifer,البقرة,ماده گاو,,"""پروردگار ما، و در ميان آنان رسولی برانگيز تا آيات تو را برايشان بخواند، به ايشان کتاب آسمانی و حکمت تعليم دهد و آنها را خالص گرداند. تويی صاحب اقتدار، حکيم ترين.""","""Our Lord, and raise among them a messenger to recite to them Your revelations, teach them the scripture and wisdom, and purify them. You are the Almighty, Most Wise.""",
2,130,4:10,١٣٠:٢,286,The Heifer,البقرة,ماده گاو,,کيست که از دين ابراهيم روی برتابد، مگر کسی که نفس خويش را فريب دهد؟ ما در اين دنيا او را برگزيده ايم و در آخرت او با پرهيزكاران خواهد بود.,"Who would forsake the religion of Abraham, except one who fools his own soul? We have chosen him in this world, and in the Hereafter he will be with the righteous.",
2,131,4:11,١٣١:٢,286,The Heifer,البقرة,ماده گاو,,"هنگامی که پروردگارش به او گفت: ""تسليم باش،"" گفت: ""من به پروردگار عالم تسليم هستم.""","When his Lord said to him, ""Submit,"" he said, ""I submit to the Lord of the universe.""",
2,132,4:12,١٣٢:٢,286,The Heifer,البقرة,ماده گاو,,"علاوه بر اين، ابراهيم فرزندانش را به همين كار سفارش کرد و يعقوب نيز چنين کرد: ""ای فرزندان من، خدا دين را برای شما مشخص کرده است؛ مبادا تسليم نشده از دنيا برويد.""","Moreover, Abraham exhorted his children to do the same, and so did Jacob: ""O my children, GOD has pointed out the religion for you; do not die except as submitters.""",
2,133,4:13,١٣٣:٢,286,The Heifer,البقرة,ماده گاو,,"اگر شاهد يعقوب در بستر مرگش بوديد؛ به فرزندان خود گفت: ""پس از مرگ من به عبادت چه خواهيد پرداخت؟"" گفتند: ""خداى تو را عبادت خواهيم کرد؛ خداى پدرانت ابراهيم، اسماعيل و اسحاق را؛ خداى واحد را. ما تسليم او هستيم.""","Had you witnessed Jacob on his death bed; he said to his children, ""What will you worship after I die?"" They said, ""We will worship your god; the god of your fathers Abraham, Ismail, and Isaac; the one god. To Him we are submitters.""",
2,134,4:14,١٣٤:٢,286,The Heifer,البقرة,ماده گاو,,چنين است جامعه ای از گذشته. آنها براى آنچه كسب كردند، مسئولند و شما براى آنچه كسب مى كنيد، مسئول هستيد. شما جوابگوى هيچ يک از اعمال آنها نيستيد.,"Such is a community from the past. They are responsible for what they earned, and you are responsible for what you earned. You are not answerable for anything they have done.",
